year,state,rate,deaths,state_name,law_strength_score,restrictive_laws,permissive_laws,total_law_changes,unique_law_classes,strength_background_checks,strength_carrying_a_concealed_weapon_ccw,strength_castle_doctrine,strength_dealer_license,strength_firearm_sales_restrictions,strength_local_laws_preempted_by_state,strength_minimum_age,strength_prohibited_possessor,strength_registration,strength_waiting_period,strength_firearm_removal_at_scene_of_domestic_violence,strength_firearms_in_college_university,strength_child_access_laws,strength_gun_trafficking,strength_open_carry,strength_required_reporting_of_lost_or_stolen_firearms,strength_safety_training_required,strength_untraceable_firearms,strength_permit_to_purchase,strength_firearms_in_k_12_educational_settings,class_count_background_checks,class_count_carrying_a_concealed_weapon_ccw,class_count_castle_doctrine,class_count_dealer_license,class_count_firearm_sales_restrictions,class_count_local_laws_preempted_by_state,class_count_minimum_age,class_count_prohibited_possessor,class_count_registration,class_count_waiting_period,class_count_firearm_removal_at_scene_of_domestic_violence,class_count_firearms_in_college_university,class_count_child_access_laws,class_count_gun_trafficking,class_count_open_carry,class_count_required_reporting_of_lost_or_stolen_firearms,class_count_safety_training_required,class_count_untraceable_firearms,class_count_permit_to_purchase,class_count_firearms_in_k_12_educational_settings,class_restrictive_background_checks,class_restrictive_carrying_a_concealed_weapon_ccw,class_restrictive_castle_doctrine,class_restrictive_dealer_license,class_restrictive_firearm_sales_restrictions,class_restrictive_local_laws_preempted_by_state,class_restrictive_minimum_age,class_restrictive_prohibited_possessor,class_restrictive_registration,class_restrictive_waiting_period,class_restrictive_firearm_removal_at_scene_of_domestic_violence,class_restrictive_firearms_in_college_university,class_restrictive_child_access_laws,class_restrictive_gun_trafficking,class_restrictive_open_carry,class_restrictive_required_reporting_of_lost_or_stolen_firearms,class_restrictive_safety_training_required,class_restrictive_untraceable_firearms,class_restrictive_permit_to_purchase,class_restrictive_firearms_in_k_12_educational_settings,class_permissive_background_checks,class_permissive_carrying_a_concealed_weapon_ccw,class_permissive_castle_doctrine,class_permissive_dealer_license,class_permissive_firearm_sales_restrictions,class_permissive_local_laws_preempted_by_state,class_permissive_minimum_age,class_permissive_prohibited_possessor,class_permissive_registration,class_permissive_waiting_period,class_permissive_firearm_removal_at_scene_of_domestic_violence,class_permissive_firearms_in_college_university,class_permissive_child_access_laws,class_permissive_gun_trafficking,class_permissive_open_carry,class_permissive_required_reporting_of_lost_or_stolen_firearms,class_permissive_safety_training_required,class_permissive_untraceable_firearms,class_permissive_permit_to_purchase,class_permissive_firearms_in_k_12_educational_settings,high_risk,rate_change,law_strength_change,restrictive_ratio,permissive_ratio
2014,AK,19.2,145,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0.72,0.28
2015,AK,23.4,177,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.199999999999999,0,0.72,0.28
2016,AK,23.3,177,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.09999999999999787,0,0.72,0.28
2017,AK,24.5,180,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1999999999999993,0,0.72,0.28
2018,AK,21,155,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.5,0,0.72,0.28
2019,AK,24.4,179,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3999999999999986,0,0.72,0.28
2020,AK,23.5,175,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8999999999999986,0,0.72,0.28
2021,AK,25.2,182,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6999999999999993,0,0.72,0.28
2022,AK,22.4,164,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.8000000000000007,0,0.72,0.28
2023,AK,23.5,176,Alaska,11,18,7,25,9,2,-1,-4,0,3,-1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,3,4,0,3,1,7,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1000000000000014,0,0.72,0.28
2014,AL,16.9,815,Alabama,10,15,5,20,10,3,-1,-3,1,3,-1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0.75,0.25
2015,AL,19.6,958,Alabama,16,21,5,26,10,3,-1,-3,1,3,-1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.700000000000003,6,0.81,0.19
2016,AL,21.5,1046,Alabama,16,21,5,26,10,3,-1,-3,1,3,-1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8999999999999986,0,0.81,0.19
2017,AL,22.9,1124,Alabama,16,21,5,26,10,3,-1,-3,1,3,-1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3999999999999986,0,0.81,0.19
2018,AL,21.8,1064,Alabama,16,21,5,26,10,3,-1,-3,1,3,-1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0999999999999979,0,0.81,0.19
2019,AL,22.2,1076,Alabama,16,21,5,26,10,3,-1,-3,1,3,-1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3999999999999986,0,0.81,0.19
2020,AL,23.6,1141,Alabama,16,21,5,26,10,3,-1,-3,1,3,-1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4000000000000021,0,0.81,0.19
2021,AL,26.4,1315,Alabama,16,21,5,26,10,3,-1,-3,1,3,-1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.799999999999997,0,0.81,0.19
2022,AL,25.5,1278,Alabama,16,21,5,26,10,3,-1,-3,1,3,-1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8999999999999986,0,0.81,0.19
2023,AL,25.6,1292,Alabama,15,21,6,27,10,3,-2,-3,1,3,-1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,2,3,1,3,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10000000000000142,-1,0.78,0.22
2014,AR,16.6,496,Arkansas,16,20,4,24,9,4,0,-2,0,3,-1,6,2,0,2,0,2,0,0,0,0,0,0,0,0,4,2,2,0,3,1,6,2,0,2,0,2,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0.83,0.17
2015,AR,16.9,520,Arkansas,16,20,4,24,9,4,0,-2,0,3,-1,6,2,0,2,0,2,0,0,0,0,0,0,0,0,4,2,2,0,3,1,6,2,0,2,0,2,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29999999999999716,0,0.83,0.17
2016,AR,17.8,541,Arkansas,16,20,4,24,9,4,0,-2,0,3,-1,6,2,0,2,0,2,0,0,0,0,0,0,0,0,4,2,2,0,3,1,6,2,0,2,0,2,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9000000000000021,0,0.83,0.17
2017,AR,20.3,613,Arkansas,15,20,5,25,9,4,0,-2,0,3,-1,6,2,0,2,0,1,0,0,0,0,0,0,0,0,4,2,2,0,3,1,6,2,0,2,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.5,-1,0.8,0.2
2018,AR,18.9,573,Arkansas,14,20,6,26,9,4,-1,-2,0,3,-1,6,2,0,2,0,1,0,0,0,0,0,0,0,0,4,3,2,0,3,1,6,2,0,2,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.4000000000000021,-1,0.77,0.23
2019,AR,19.3,580,Arkansas,14,20,6,26,9,4,-1,-2,0,3,-1,6,2,0,2,0,1,0,0,0,0,0,0,0,0,4,3,2,0,3,1,6,2,0,2,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.40000000000000213,0,0.77,0.23
2020,AR,22.6,673,Arkansas,14,20,6,26,9,4,-1,-2,0,3,-1,6,2,0,2,0,1,0,0,0,0,0,0,0,0,4,3,2,0,3,1,6,2,0,2,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.3000000000000007,0,0.77,0.23
2021,AR,23.3,698,Arkansas,12,20,8,28,9,4,-2,-3,0,3,-1,6,2,0,2,0,1,0,0,0,0,0,0,0,0,4,4,3,0,3,1,6,2,0,2,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6999999999999993,-2,0.71,0.29
2022,AR,21.9,666,Arkansas,12,20,8,28,9,4,-2,-3,0,3,-1,6,2,0,2,0,1,0,0,0,0,0,0,0,0,4,4,3,0,3,1,6,2,0,2,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.4000000000000021,0,0.71,0.29
2023,AR,21.9,671,Arkansas,12,20,8,28,9,4,-2,-3,0,3,-1,6,2,0,2,0,1,0,0,0,0,0,0,0,0,4,4,3,0,3,1,6,2,0,2,0,3,0,0,0,0,0,0,0,0,3,1,0,0,3,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.71,0.29
2014,AZ,13.5,927,Arizona,17,24,7,31,9,3,-1,-3,0,3,-1,7,6,0,2,1,0,0,0,0,0,0,0,0,0,5,3,3,0,3,1,7,6,0,2,1,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,7,6,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.77,0.23
2015,AZ,13.8,970,Arizona,17,24,7,31,9,3,-1,-3,0,3,-1,7,6,0,2,1,0,0,0,0,0,0,0,0,0,5,3,3,0,3,1,7,6,0,2,1,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,7,6,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3000000000000007,0,0.77,0.23
2016,AZ,15.2,1094,Arizona,16,24,8,32,9,3,-1,-3,0,3,-2,7,6,0,2,1,0,0,0,0,0,0,0,0,0,5,3,3,0,3,2,7,6,0,2,1,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,7,6,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3999999999999986,-1,0.75,0.25
